-,-,-,-,-,-
MM,DBMS LAB,WP,WP LAB,COA,LIBRARY
MM LAB,DBMS LAB,TC,WP LAB,COA,LIBRARY
MM LAB,DAA,LIBRARY,DBMS,COA,CVT
TC,DMBS,DAA LAB,DAA,JAVA LAB,CVT
MM,WP,DAA LAB,TC_Tut,JAVA LAB,CVT_Tut
MM,LIBRARY,LIBRARY,LIBRARY,LIBRARY,CVT
-,-,-,-,-,-
