-,-,-,-,-,-
ADSA,DBMS LAB,-,PDA LAB B2,ADSA,-
-,DBMS LAB,ADSA LAB,PDA LAB B2,-,-
-,DAA,ADSA LAB,DBMS,-,-
PDA LAB B1,DBMS ,DAA LAB,DAA,-,PDA
PDA LAB B1,-,DAA LAB,-,-,-
-,-,-,-,-,-
-,-,-,-,-,-
