-,-,-,-,-,-
DT,QSP LAB,DT,LIBRARY,LIBRARY,EC LAB
-,QSP LAB,LADE,MAE,DML LAB,EC LAB
-,LADE,OSP,BEEE,DML LAB,MAE
PYTHON LAB,BEE LAB,ES,LADE,EEWS LAB,LIBRARY
PYTHON LAB,BEE LAB,BEEE,ES TUT,EEWS LAB,-
LIBRARY,LIBRARY,LADE TUT,OSP,LIBRARY,-
-,-,-,-,-,-
